movieCd,moviePartNm,peopleCd
20147928,사운드,20156478
20147928,사운드믹싱,20156478
20133641,사운드믹싱,20156478
20133641,대사,20156478
20132801,대사,20156478
20132801,사운드믹싱,20156478
20125246,사운드믹싱,20156478
20149495,대사,20156478
20149495,사운드믹싱,20156478
20136864,사운드믹싱,20156478
20136864,대사,20156478
20133789,사운드디자이너,20156478
20134122,사운드믹싱,20156478
20134122,대사,20156478
20147987,사운드믹싱,20156478
20123662,사운드믹싱,20156478
20123662,대사,20156478
20122786,사운드,20156478
20122786,사운드믹싱,20156478
20121464,사운드믹싱,20156478
20122121,사운드믹싱,20156478
20129114,사운드,20156478
20129114,사운드믹싱,20156478
20120103,사운드믹싱,20156478
20120103,대사,20156478
20124069,사운드믹싱,20156478
20113835,사운드믹싱,20156478
20126008,사운드믹싱,20156478
20125686,사운드디자이너,20156478
20088318,사운드디자이너,20156478
20124399,사운드디자이너,20156478
20088506,대사,20156478
20124348,사운드디자이너,20156478
20112702,사운드팀,20156478
20112934,사운드팀,20156478
20111914,대사,20156478
20111914,사운드팀,20156478
20119513,폴리,20156478
20119659,사운드효과,20156478
20111461,사운드,20156478
20111461,사운드믹싱,20156478
20111461,대사,20156478
20119337,사운드팀,20156478
20101339,사운드팀,20156478
20100661,사운드디자이너,20156478
20100296,사운드효과,20156478
20090815,사운드디자이너,20156478
20090667,사운드효과,20156478
20090389,사운드팀,20156478
20090225,사운드디자이너,20156478
20090022,사운드디자이너,20156478
20081737,사운드효과,20156478
20080743,사운드디자이너,20156478
20081002,사운드디자이너,20156478
20081243,사운드팀,20156478
20081244,사운드디자이너,20156478
20080968,사운드디자이너,20156478
20072151,사운드디자이너,20156478
20072056,폴리,20156478
20072687,사운드효과,20156478
20071064,사운드효과,20156478
20070637,사운드효과,20156478
20070383,사운드효과,20156478
20070381,폴리,20156478
20070262,사운드디자이너,20156478
20070209,사운드디자이너,20156478
20070114,폴리,20156478
20070114,사운드디자이너,20156478
20080197,사운드믹싱,20156478
20060387,사운드효과,20156478
20060387,대사,20156478
20060387,사운드팀,20156478
20060344,사운드디자이너,20156478
20060273,사운드효과,20156478
20060283,사운드효과,20156478
20060288,사운드믹싱,20156478
20060288,사운드효과,20156478
20060200,폴리,20156478
20060200,사운드효과,20156478
20050282,사운드디자이너,20156478
20050282,사운드,20156478
20050102,사운드팀,20156478
20040626,사운드팀,20156478
20040800,사운드팀,20156478
20040778,사운드효과,20156478
20040641,폴리,20156478
20040688,사운드팀,20156478
20040614,사운드효과,20156478
20040589,사운드효과,20156478
20040505,사운드효과,20156478
20061235,사운드팀,20156478
20030335,대사,20156478
20030014,대사,20156478
20020296,사운드팀,20156478
20020265,사운드팀,20156478
20020233,대사,20156478
20020303,사운드팀,20156478
20020197,대사,20156478
20020091,사운드팀,20156478
20010094,대사,20156478
20120743,사운드디자이너,20156478
20058783,사운드믹싱,20156478
20148619,사운드,20156478
20148619,사운드믹싱,20156478
20060355,사운드디자이너,20156478
20199541,분장팀,20366603
20192101,분장팀,20366603
20137526,기획,20307310
20137526,각색,20307310
20137526,조감독,20307310
20181235,감독,20307310
20185350,감독,20113064
20185350,제작,20113064
20174645,감독,20113064
20174645,프로듀서,20113064
20174645,시나리오(각본),20113064
20163041,프로듀서,20113064
20141114,감독,20113064
20141114,시나리오(각본),20113064
20141114,제작,20113064
20120541,감독,20113064
20110607,감독,20113064
20125996,감독,20329612
20216432,메이킹필름,20159627
20217218,메이킹필름,20159627
20209298,예고편,20159627
20209926,메이킹필름,20159627
20200490,메이킹필름,20159627
20209021,예고편,20159627
20209029,예고편,20159627
20209029,예고편,20159627
20181685,메이킹필름,20159627
20196675,메이킹필름,20159627
20190621,메이킹필름,20159627
20199883,메이킹필름,20159627
20183813,예고편,20159627
20197863,메이킹필름,20159627
20184133,예고편,20159627
20196284,메이킹필름,20159627
20185361,메이킹필름,20159627
20194456,메이킹필름,20159627
20187322,메이킹필름,20159627
20190703,예고편,20159627
20184543,메이킹필름,20159627
20198323,예고편,20159627
20190725,예고편,20159627
20198183,예고편,20159627
20188421,메이킹필름,20159627
